date,temperature_mean,temperature_max,temperature_min,rainfall,district
2020-01-01,23.59,25.7,21.98,32.78,Balaka
2020-01-02,23.97,27.05,21.63,80.07,Balaka
2020-01-03,23.0,24.82,21.45,36.2,Balaka
2020-01-04,23.93,27.25,20.77,31.92,Balaka
2020-01-05,24.47,28.67,20.75,4.19,Balaka
2020-01-06,25.05,30.26,19.82,42.03,Balaka
2020-01-07,23.87,26.52,21.69,5.73,Balaka
2020-01-08,24.51,29.08,21.31,4.88,Balaka
2020-01-09,24.99,30.17,21.19,1.26,Balaka
2020-01-10,24.57,28.8,20.85,1.49,Balaka
2020-01-11,24.21,27.2,21.47,8.98,Balaka
2020-01-12,23.8,26.6,21.23,21.49,Balaka
2020-01-13,23.17,26.03,21.16,11.14,Balaka
2020-01-14,22.47,24.97,20.16,16.21,Balaka
2020-01-15,23.21,26.78,20.0,40.26,Balaka
2020-01-16,23.27,26.08,20.7,35.85,Balaka
2020-01-17,23.6,27.5,20.6,16.14,Balaka
2020-01-18,24.28,28.2,21.24,8.16,Balaka
2020-01-19,25.04,29.41,22.1,10.52,Balaka
2020-01-20,24.11,27.51,21.86,8.66,Balaka
2020-01-21,21.81,23.49,19.39,13.52,Balaka
2020-01-22,21.0,25.05,17.35,0.23,Balaka
2020-01-23,22.4,27.94,17.49,0.2,Balaka
2020-01-24,22.7,27.75,19.0,0.04,Balaka
2020-01-25,22.8,27.74,18.32,0.06,Balaka
2020-01-26,23.73,28.6,19.92,1.93,Balaka
2020-01-27,24.74,29.56,20.48,19.84,Balaka
2020-01-28,22.41,25.24,19.15,23.57,Balaka
2020-01-29,21.68,25.68,18.55,0.13,Balaka
2020-01-30,21.71,25.13,19.37,18.05,Balaka
2020-01-31,22.05,26.98,19.26,0.29,Balaka
2020-02-01,23.1,27.91,18.85,2.99,Balaka
2020-02-02,23.7,27.58,20.68,1.58,Balaka
2020-02-03,23.63,27.66,20.72,2.99,Balaka
2020-02-04,23.7,27.46,20.59,2.15,Balaka
2020-02-05,23.63,27.01,21.42,2.67,Balaka
2020-02-06,24.34,27.93,20.72,1.44,Balaka
2020-02-07,23.23,26.3,20.99,5.58,Balaka
2020-02-08,23.24,26.25,20.95,31.06,Balaka
2020-02-09,23.32,26.65,20.97,5.04,Balaka
2020-02-10,23.37,26.64,20.56,5.31,Balaka
2020-02-11,23.73,27.3,20.84,5.7,Balaka
2020-02-12,23.36,26.53,20.52,44.06,Balaka
2020-02-13,22.03,23.97,20.37,21.62,Balaka
2020-02-14,22.88,26.87,19.49,4.16,Balaka
2020-02-15,24.19,28.88,20.22,3.7,Balaka
2020-02-16,24.44,28.58,21.39,3.79,Balaka
2020-02-17,23.92,27.27,20.85,5.75,Balaka
2020-02-18,23.83,27.09,21.28,6.95,Balaka
2020-02-19,24.01,27.53,20.96,2.16,Balaka
2020-02-20,24.1,28.59,20.33,3.06,Balaka
2020-02-21,24.32,28.77,20.22,16.44,Balaka
2020-02-22,24.85,29.09,20.53,33.9,Balaka
2020-02-23,26.05,30.34,22.24,55.31,Balaka
2020-02-24,24.43,27.58,21.72,227.86,Balaka
2020-02-25,21.79,25.21,18.92,18.75,Balaka
2020-02-26,20.6,25.34,17.11,1.18,Balaka
2020-02-27,21.17,26.23,15.97,2.42,Balaka
2020-02-28,23.33,28.89,19.23,14.86,Balaka
2020-02-29,22.46,27.03,19.43,3.6,Balaka
2020-03-01,21.75,26.84,17.21,1.05,Balaka
2020-03-02,20.25,24.91,16.25,5.27,Balaka
2020-03-03,20.63,26.28,16.04,6.11,Balaka
2020-03-04,20.77,25.56,17.16,11.56,Balaka
2020-03-05,20.49,25.47,17.06,5.68,Balaka
2020-03-06,20.82,26.27,15.75,4.77,Balaka
2020-03-07,22.02,26.39,18.04,6.45,Balaka
2020-03-08,22.09,26.91,18.44,0.18,Balaka
2020-03-09,22.34,27.04,18.67,0.11,Balaka
2020-03-10,23.37,27.74,19.97,0.8,Balaka
2020-03-11,23.78,27.48,20.65,2.06,Balaka
2020-03-12,24.17,28.16,21.0,1.5,Balaka
2020-03-13,23.72,28.3,20.43,0.3,Balaka
2020-03-14,23.31,27.75,18.8,1.94,Balaka
2020-03-15,23.91,29.15,19.81,0.88,Balaka
