district,population,area_sqkm,population_density
Balaka,430485.3125,1.7925320981221824e-07,2401548697236.535
Blantyre,1341456.25,1.7083128159699307e-07,7852521139334.542
Chikwawa,590486.875,4.123949271721495e-07,1431848056543.887
Chiradzulu,377633.6875,6.40716983585016e-08,5893923482206.122
Chitipa,271797.0625,3.335337094332777e-07,814901327250.6182
Dedza,880832.0625,4.2839142289997707e-07,2056138417845.1702
Dowa,838432.125,2.558452890128078e-07,3277105973829.471
Karonga,396206.625,7.216578071056515e-07,549022848639.3897
Kasungu,897106.125,6.55227879602169e-07,1369151333341.7542
Likoma,13766.791015625,1.7787670400666959e-09,7739513216474.265
Lilongwe,3232806.5,5.2312562589874e-07,6179789977686.4795
Machinga,739289.9375,3.2581482840229837e-07,2269049389572.795
Mangochi,1139117.25,7.587575171207801e-07,1501292869324.7776
Mchinji,688795.0,2.547878692559405e-07,2703405786199.6914
Mulanje,697633.0,1.6850488148904123e-07,4140135252077.969
Mwanza,148453.171875,6.2737217276044e-08,2366269629425.951
Mzimba,1305032.5,8.717224839887799e-07,1497073350716.5078
Neno,168640.125,1.325823911546671e-07,1271964727225.8718
Nkhata Bay,312092.0625,9.457224799710714e-07,330003853254.653
Nkhotakota,432528.0625,6.538048061790486e-07,661555342530.7024
Nsanje,327557.125,1.6341839447268974e-07,2004407925172.346
Ntcheu,655020.375,2.7278797432328146e-07,2401206932325.156
Ntchisi,321940.53125,1.4349534613116227e-07,2243560783885.8374
Phalombe,436102.0625,1.2181124406588962e-07,3580146199509.345
Rumphi,239046.078125,5.561092569499739e-07,429854520739.4452
Salima,513001.25,2.608869959575683e-07,1966373402848.475
Thyolo,833617.25,1.4072782204813734e-07,5923613666918.352
Zomba,870633.5,2.596556914481433e-07,3353030681300.807
